,combination,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Label,n_element
281,CrCuFeNb,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,HEA,4
282,CrCuFeV,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,HEA,4
283,CrCuNbV,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,HEA,4
284,CrFeMnNb,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,HEA,4
285,CrFeMoV,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,HEA,4
286,CrFeNiV,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,HEA,4
287,CrMnMoNi,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,HEA,4
288,CrMnMoTi,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,HEA,4
289,CrMnMoZr,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,not_HEA,4
290,CrMnNiV,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,HEA,4
291,CrMnTiZr,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,not_HEA,4
292,CrMoNbNi,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,HEA,4
293,CrMoNbTi,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,HEA,4
294,CrMoNbZr,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,HEA,4
295,CrMoVZr,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,not_HEA,4
296,CrNbTiV,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,HEA,4
297,CrNiPdRh,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,HEA,4
298,CrPdRhRu,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,HEA,4
299,CuFeMoTi,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,not_HEA,4
300,CuFeNbTi,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,HEA,4
301,CuFeNiV,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,HEA,4
302,CuFePdRh,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,HEA,4
303,CuFeTiV,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,not_HEA,4
304,CuMoTiV,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,HEA,4
305,CuNbPdRh,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,not_HEA,4
306,CuNiPdRu,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,HEA,4
307,FeMnMoV,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,HEA,4
308,FeMoPdRu,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,HEA,4
309,FeNbTiV,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,HEA,4
310,FeNiPdRu,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,HEA,4
311,FePdRhRu,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,HEA,4
312,MnMoNbTi,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,HEA,4
313,MnMoNbZr,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,HEA,4
314,MnMoVZr,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,not_HEA,4
315,MnNbTiV,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,HEA,4
316,MoNbVZr,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,HEA,4
317,MoNiPdRh,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,HEA,4
318,MoPdRhRu,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,HEA,4
319,MoTiVZr,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,HEA,4
320,AgCoCrRh,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,not_HEA,4
321,AgCoCuPd,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,not_HEA,4
322,AgCoNiPd,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,not_HEA,4
323,AgCoPdRh,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,HEA,4
324,AgCrCuNi,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,not_HEA,4
325,AgCrCuRh,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,not_HEA,4
326,AgCrPdRu,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,not_HEA,4
327,AgCrRhRu,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,not_HEA,4
328,AgCuFeRh,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,not_HEA,4
329,AgFeMoRh,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,not_HEA,4
330,AgFeNiPd,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,not_HEA,4
331,AgFeNiRu,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,not_HEA,4
332,AgFePdRh,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,HEA,4
333,AgFeRhRu,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,not_HEA,4
334,AgMoNiRu,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,not_HEA,4
335,AgMoPdRh,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,not_HEA,4
336,AgMoRhRu,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,not_HEA,4
337,AgNiPdRu,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,not_HEA,4
338,CoCrCuPd,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,not_HEA,4
339,CoCrMnNb,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,HEA,4
340,CoMoNiPd,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,HEA,4
341,CoMoPdRh,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,HEA,4
342,CoNiPdRh,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,HEA,4
343,CrCuFeMn,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,not_HEA,4
344,CrCuFeNi,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,HEA,4
345,CrCuMnV,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,not_HEA,4
